run,id,frames,window_s,fps,build_avg_ms,build_p50_ms,build_p90_ms,build_p99_ms,raster_avg_ms,raster_p50_ms,raster_p90_ms,raster_p99_ms,span_p50_ms,span_p99_ms,jank_pct,headroom,vsync_budget_ms,dpr,logical_w,logical_h,physical_mpx,ns_per_px,notes
0,survey.voronoi_radial,355,2.91,121.6,0.683,0.568,0.987,2.261,0.973,0.889,1.164,2.395,1.844,6.356,0.0,0.860,8.33,2.00,480,640,1.229,723.47,"defaults; fill"
0,survey.voronoi,358,2.94,121.4,0.756,0.629,1.177,3.121,1.109,0.979,1.443,3.162,2.005,6.956,0.0,0.827,8.33,2.00,480,640,1.229,796.71,"defaults; fill"
0,survey.turbulence_radial,344,2.81,122.1,0.670,0.557,0.946,2.567,1.071,0.921,1.485,3.199,1.897,6.917,0.0,0.822,8.33,2.00,480,640,1.229,749.51,"defaults; fill"
0,survey.turbulence,353,2.91,120.9,0.632,0.519,0.916,2.126,0.921,0.827,1.220,2.850,1.788,7.217,0.3,0.854,8.33,2.00,480,640,1.229,673.01,"defaults; fill"
0,survey.fbm_radial,357,3.02,117.7,1.038,0.634,1.238,3.082,1.129,0.987,1.477,3.618,2.079,6.967,0.6,0.823,8.33,2.00,480,640,1.229,803.22,"defaults; fill"
0,survey.fbm,344,2.83,121.4,0.879,0.664,1.488,5.043,1.308,1.045,1.840,6.373,2.165,13.534,1.5,0.779,8.33,2.00,480,640,1.229,850.42,"defaults; fill"
0,survey.simplex_radial,357,2.93,121.6,0.744,0.605,1.054,2.481,1.119,0.963,1.415,2.986,2.008,8.238,0.0,0.830,8.33,2.00,480,640,1.229,783.69,"defaults; fill"
0,survey.simplex,345,2.82,122.2,0.715,0.561,0.995,3.291,1.070,0.955,1.381,3.364,1.911,8.171,0.3,0.834,8.33,2.00,480,640,1.229,777.18,"defaults; fill"
0,survey.perlin_radial,356,2.91,121.8,0.752,0.651,1.088,2.282,1.277,1.048,1.489,3.987,2.161,8.806,0.6,0.821,8.33,2.00,480,640,1.229,852.86,"defaults; fill"
0,survey.perlin,353,2.91,120.9,0.752,0.589,1.072,3.544,1.105,0.966,1.426,3.637,1.962,9.104,0.6,0.829,8.33,2.00,480,640,1.229,786.13,"defaults; fill"
0,survey.grit_radial,346,2.80,123.4,0.685,0.575,0.958,2.546,1.051,0.938,1.425,3.156,1.927,6.076,0.0,0.829,8.33,2.00,480,640,1.229,763.35,"defaults; fill"
0,survey.grit,350,2.90,120.2,0.790,0.580,1.047,4.896,1.102,0.954,1.386,3.578,1.955,14.568,1.1,0.834,8.33,2.00,480,640,1.229,776.37,"defaults; fill"
0,base.iwrap.tiny,342,2.83,120.5,0.895,0.712,1.203,5.135,1.231,1.083,1.501,3.948,2.384,11.610,0.9,0.820,8.33,2.00,16,16,0.001,1057617.19,"UI-thread uniform cost (~93 setFloats): read build, not raster"
0,base.passthru.full,354,2.89,122.3,0.914,0.727,1.330,4.591,3.474,3.304,4.494,9.662,4.692,12.285,1.1,0.461,8.33,2.00,800,1042,3.334,990.88,"child-capture tax at full window size"
0,base.passthru.480,350,2.84,123.0,0.877,0.722,1.173,4.063,2.146,1.955,2.699,6.221,3.342,11.165,0.9,0.676,8.33,2.00,480,640,1.229,1590.98,"AnimatedSampler child-capture tax: 1:1 passthrough wrap"
0,base.perlin,354,2.90,121.9,0.686,0.558,0.953,2.527,1.120,0.950,1.570,3.265,1.924,6.348,0.0,0.812,8.33,2.00,480,640,1.229,773.11,"cheap-shader reference (production PerlinGradient fill)"
0,base.empty,355,2.91,121.8,0.710,0.550,1.082,2.070,1.056,0.922,1.348,3.620,1.906,8.370,0.6,0.838,8.33,2.00,480,640,1.229,750.33,"harness floor: no shader, time driver running"
