run,id,frames,window_s,fps,build_avg_ms,build_p50_ms,build_p90_ms,build_p99_ms,raster_avg_ms,raster_p50_ms,raster_p90_ms,raster_p99_ms,span_p50_ms,span_p99_ms,jank_pct,headroom,vsync_budget_ms,dpr,logical_w,logical_h,physical_mpx,ns_per_px,notes
1,prod.fur.clicks5,357,2.92,121.9,0.610,0.485,0.871,2.903,1.333,1.299,1.554,3.002,2.222,5.803,0.0,0.814,8.33,2.00,480,640,1.229,1057.13,"5 deterministic mid-life clicks (wavelet worst case)"
1,prod.fur.child_rect,347,2.84,121.8,0.697,0.567,0.905,4.211,1.663,1.627,2.049,3.966,2.708,9.683,0.0,0.754,8.33,2.00,480,640,1.229,1324.06,"full-density child: no early-continue, full lighting per step"
1,prod.fur.child_text,357,2.93,121.5,0.700,0.570,0.965,2.981,1.685,1.607,2.137,4.739,2.749,7.377,0.0,0.744,8.33,2.00,480,640,1.229,1307.78,"sparse child: isolates the unconditional 5-taps/step floor"
1,prod.fur.noise80,354,2.92,121.0,0.686,0.583,0.961,2.566,1.677,1.615,2.183,3.523,2.667,6.940,0.3,0.738,8.33,2.00,480,640,1.229,1314.29,"furNoiseScale=80: hash-grid frequency sensitivity"
1,bench.iwrap.base,341,2.83,120.0,0.726,0.594,1.031,2.542,1.739,1.621,2.243,5.234,2.639,12.708,1.2,0.731,8.33,2.00,480,640,1.229,1319.17,"parity anchor (byte-copy of production)"
1,bench.iwrap.dirs16,342,2.83,120.7,0.715,0.614,1.032,2.780,1.755,1.718,2.132,4.487,2.894,8.916,0.3,0.744,8.33,2.00,480,640,1.229,1398.11,"NUM_DIRS 32->16"
1,bench.iwrap.dirs8,358,2.92,122.1,0.799,0.673,1.103,3.103,1.824,1.742,2.365,4.823,3.038,10.271,0.6,0.716,8.33,2.00,480,640,1.229,1417.64,"NUM_DIRS 32->8"
1,bench.iwrap.coarse4,354,2.93,120.7,0.697,0.597,1.007,2.358,1.696,1.641,2.063,3.883,2.778,6.879,0.0,0.752,8.33,2.00,480,640,1.229,1335.45,"NUM_COARSE 8->4 (search span kept)"
1,bench.iwrap.warp1,342,2.83,120.3,0.748,0.654,0.966,2.451,1.786,1.718,2.215,4.629,2.933,9.307,0.3,0.734,8.33,2.00,480,640,1.229,1398.11,"1 warpMap instead of 3 (no chromatic aberration)"
1,bench.iwrap.nobump,345,2.83,121.6,0.759,0.623,1.058,3.139,1.709,1.676,2.234,3.081,2.909,7.670,0.3,0.732,8.33,2.00,480,640,1.229,1363.93,"bump warpShape tap stubbed (4th warpShape)"
1,bench.iwrap.fbm2oct,353,2.91,120.8,0.794,0.635,1.147,3.451,1.774,1.699,2.276,3.757,2.963,6.494,0.0,0.727,8.33,2.00,480,640,1.229,1382.65,"fbm 4->2 octaves"
1,bench.iwrap.noise_const,346,2.83,121.9,0.760,0.660,1.061,3.155,1.956,1.804,2.528,5.371,3.090,11.573,0.9,0.697,8.33,2.00,480,640,1.229,1468.10,"fbm()->0: total noise floor"
